sex,index,FL,RW,CL,CW,BD
1,26,13,12,27,32,11
1,27,13,11,28,32,11
1,28,13,12,28,33,11
1,29,13,13,30,34,13
1,30,14,12,30,34,12
1,31,14,13,30,35,12
1,32,15,13,31,36,14
1,33,15,14,32,37,14
1,34,15,13,31,36,13
1,35,15,13,31,37,13
1,36,15,13,31,36,13
1,37,15,14,33,38,14
1,38,15,14,32,38,13
1,39,15,13,32,37,13
1,40,15,13,33,38,14
1,41,15,13,32,37,13
1,42,15,14,33,39,14
1,43,15,13,33,38,14
1,44,15,15,34,40,15
1,45,16,15,34,40,13
1,46,16,14,34,39,15
1,47,16,16,36,41,15
1,48,17,16,38,44,16
1,49,17,16,38,44,17
1,50,19,16,40,47,18
0,1,9,6,16,18,7
0,2,10,8,20,22,9
0,3,10,8,20,22,9
0,4,11,9,22,24,10
0,5,12,9,23,26,10
0,6,12,9,24,27,11
0,7,12,10,26,28,12
0,8,13,11,27,30,12
0,9,13,10,26,29,12
0,10,13,11,27,30,12
0,11,14,11,29,32,13
0,12,14,10,28,31,13
0,13,14,10,29,31,13
0,14,14,10,28,31,13
0,15,14,10,28,31,12
0,16,14,10,27,30,12
0,17,14,11,29,32,13
0,18,14,11,29,33,12
0,19,14,11,29,32,13
0,20,15,11,30,33,14
0,21,15,11,30,34,13
0,22,15,11,30,33,13
0,23,15,12,31,34,14
0,24,16,11,32,35,14
0,25,16,11,31,34,14
0,26,17,12,35,38,15
0,27,17,12,36,39,16
0,28,17,12,34,37,15
0,29,17,12,34,38,16
0,30,17,12,36,39,16
0,31,17,12,36,40,16
0,32,18,13,36,41,17
0,33,18,13,38,42,17
0,34,18,13,37,42,17
0,35,18,13,37,41,17
0,36,18,13,36,40,17
0,37,18,13,37,41,17
0,38,18,13,39,43,17
0,39,19,14,39,43,17
0,40,19,14,39,44,17
0,41,20,13,40,44,18
0,42,20,14,42,46,19
0,43,21,15,42,47,19
0,44,21,15,45,49,20
0,45,21,15,45,49,20
0,46,21,14,43,48,20
0,47,21,15,45,51,21
0,48,22,15,44,49,20
0,49,23,16,47,52,21
0,50,23,15,47,52,21
1,1,10,9,21,24,9
1,2,11,9,21,24,9
1,3,12,10,24,27,10
1,4,12,11,25,28,11
1,5,12,11,25,29,11
1,6,14,11,27,31,12
1,7,14,12,28,32,12
1,8,14,12,28,31,12
1,9,14,13,29,33,12
1,10,14,13,30,33,13
1,11,15,12,30,33,14
1,12,15,13,31,35,14
1,13,15,14,31,35,13
1,14,15,14,31,34,13
1,15,15,13,31,34,13
1,16,16,13,31,36,14
1,17,16,13,31,36,13
1,18,16,14,31,35,13
1,19,16,14,32,37,14
1,20,17,14,33,37,14
1,21,17,14,34,39,15
1,22,17,14,34,39,16
1,23,17,14,33,37,14
1,24,17,14,34,38,15
1,25,18,14,34,39,15
1,26,18,16,37,43,17
1,27,18,15,35,40,16
1,28,18,15,35,40,15
1,29,18,15,36,41,16
1,30,18,14,37,42,16
1,31,18,14,34,39,15
1,32,18,15,35,40,16
1,33,18,16,36,41,15
1,34,19,16,37,42,16
1,35,19,16,37,42,17
1,36,19,16,39,43,18
1,37,19,16,39,43,17
1,38,19,17,40,46,17
1,39,20,16,40,45,17
1,40,20,17,39,44,18
1,41,20,16,39,44,18
1,42,20,17,40,45,19
1,43,20,17,41,46,19
1,44,20,16,39,44,17
1,45,21,18,43,48,20
1,46,21,18,41,46,18
1,47,21,17,41,47,19
1,48,21,17,42,47,19
1,49,22,17,43,48,19
1,50,23,20,46,52,21
